Section,Item,Value
Algemeen,Bestandsnaam,obd_export_20260513_201510.csv
Algemeen,Tijdstip,20260513_201510
VIN,VIN,Geen VIN beschikbaar (Mercedes-Benz b200 2010)
Protocol,Protocol naam,ISO 15765-4 (CAN 11/500)
Protocol,Protocol ID,6
Query,Command,b'010C': Engine RPM
Query,Value,712.0 revolutions_per_minute
Query,Time,1778696110.192415
Supported Commands,DTC_PIDS_C,b'0240' (mode 2)
Supported Commands,DTC_DISTANCE_SINCE_DTC_CLEAR,b'0231' (mode 2)
Supported Commands,DTC_RUN_TIME,b'021F' (mode 2)
Supported Commands,ELM_VOLTAGE,b'ATRV' (mode None)
Supported Commands,STATUS,b'0101' (mode 1)
Supported Commands,DTC_WARMUPS_SINCE_DTC_CLEAR,b'0230' (mode 2)
Supported Commands,PIDS_C,b'0140' (mode 1)
Supported Commands,WARMUPS_SINCE_DTC_CLEAR,b'0130' (mode 1)
Supported Commands,O2_SENSORS,b'0113' (mode 1)
Supported Commands,CALIBRATION_ID,b'0904' (mode 9)
Supported Commands,GET_DTC,b'03' (mode 3)
Supported Commands,MIDS_A,b'0600' (mode 6)
Supported Commands,PIDS_B,b'0120' (mode 1)
Supported Commands,CATALYST_TEMP_B1S2,b'013E' (mode 1)
Supported Commands,GET_CURRENT_DTC,b'07' (mode 7)
Supported Commands,DTC_CONTROL_MODULE_VOLTAGE,b'0242' (mode 2)
Supported Commands,CLEAR_DTC,b'04' (mode 4)
Supported Commands,ELM_VERSION,b'ATI' (mode None)
Supported Commands,DTC_INTAKE_TEMP,b'020F' (mode 2)
Supported Commands,RUN_TIME,b'011F' (mode 1)
Supported Commands,DTC_BAROMETRIC_PRESSURE,b'0233' (mode 2)
Supported Commands,DTC_ENGINE_LOAD,b'0204' (mode 2)
Supported Commands,DISTANCE_SINCE_DTC_CLEAR,b'0131' (mode 1)
Supported Commands,INTAKE_PRESSURE,b'010B' (mode 1)
Supported Commands,PIDS_9A,b'0900' (mode 9)
Supported Commands,DTC_RPM,b'020C' (mode 2)
Supported Commands,DTC_COOLANT_TEMP,b'0205' (mode 2)
Supported Commands,DTC_O2_S1_WR_VOLTAGE,b'0224' (mode 2)
Supported Commands,CONTROL_MODULE_VOLTAGE,b'0142' (mode 1)
Supported Commands,DTC_CATALYST_TEMP_B1S1,b'023C' (mode 2)
Supported Commands,AMBIANT_AIR_TEMP,b'0146' (mode 1)
Supported Commands,ENGINE_LOAD,b'0104' (mode 1)
Supported Commands,PIDS_A,b'0100' (mode 1)
Supported Commands,BAROMETRIC_PRESSURE,b'0133' (mode 1)
Supported Commands,O2_S1_WR_VOLTAGE,b'0124' (mode 1)
Supported Commands,DTC_INTAKE_PRESSURE,b'020B' (mode 2)
Supported Commands,DTC_DISTANCE_W_MIL,b'0221' (mode 2)
Supported Commands,RPM,b'010C' (mode 1)
Supported Commands,DTC_SPEED,b'020D' (mode 2)
Supported Commands,MAF,b'0110' (mode 1)
Supported Commands,OBD_COMPLIANCE,b'011C' (mode 1)
Supported Commands,DISTANCE_W_MIL,b'0121' (mode 1)
Supported Commands,DTC_OBD_COMPLIANCE,b'021C' (mode 2)
Supported Commands,DTC_CATALYST_TEMP_B1S2,b'023E' (mode 2)
Supported Commands,DTC_MAF,b'0210' (mode 2)
Supported Commands,SPEED,b'010D' (mode 1)
Supported Commands,INTAKE_TEMP,b'010F' (mode 1)
Supported Commands,FUEL_RAIL_PRESSURE_DIRECT,b'0123' (mode 1)
Supported Commands,DTC_PIDS_B,b'0220' (mode 2)
Supported Commands,DTC_AMBIANT_AIR_TEMP,b'0246' (mode 2)
Supported Commands,DTC_O2_SENSORS,b'0213' (mode 2)
Supported Commands,CATALYST_TEMP_B1S1,b'013C' (mode 1)
Supported Commands,COOLANT_TEMP,b'0105' (mode 1)
Supported Commands,DTC_FUEL_RAIL_PRESSURE_DIRECT,b'0223' (mode 2)
Supported Commands,DTC_STATUS,b'0201' (mode 2)
Mode 01 Commands,STATUS,b'0101' (mode 1)
Mode 01 Commands,PIDS_C,b'0140' (mode 1)
Mode 01 Commands,WARMUPS_SINCE_DTC_CLEAR,b'0130' (mode 1)
Mode 01 Commands,O2_SENSORS,b'0113' (mode 1)
Mode 01 Commands,PIDS_B,b'0120' (mode 1)
Mode 01 Commands,CATALYST_TEMP_B1S2,b'013E' (mode 1)
Mode 01 Commands,RUN_TIME,b'011F' (mode 1)
Mode 01 Commands,DISTANCE_SINCE_DTC_CLEAR,b'0131' (mode 1)
Mode 01 Commands,INTAKE_PRESSURE,b'010B' (mode 1)
Mode 01 Commands,CONTROL_MODULE_VOLTAGE,b'0142' (mode 1)
Mode 01 Commands,AMBIANT_AIR_TEMP,b'0146' (mode 1)
Mode 01 Commands,ENGINE_LOAD,b'0104' (mode 1)
Mode 01 Commands,PIDS_A,b'0100' (mode 1)
Mode 01 Commands,BAROMETRIC_PRESSURE,b'0133' (mode 1)
Mode 01 Commands,O2_S1_WR_VOLTAGE,b'0124' (mode 1)
Mode 01 Commands,RPM,b'010C' (mode 1)
Mode 01 Commands,MAF,b'0110' (mode 1)
Mode 01 Commands,OBD_COMPLIANCE,b'011C' (mode 1)
Mode 01 Commands,DISTANCE_W_MIL,b'0121' (mode 1)
Mode 01 Commands,SPEED,b'010D' (mode 1)
Mode 01 Commands,INTAKE_TEMP,b'010F' (mode 1)
Mode 01 Commands,FUEL_RAIL_PRESSURE_DIRECT,b'0123' (mode 1)
Mode 01 Commands,CATALYST_TEMP_B1S1,b'013C' (mode 1)
Mode 01 Commands,COOLANT_TEMP,b'0105' (mode 1)
Mode 03 DTC,Welkom,DTC codes
Mode 03 DTC,Geen DTC codes gevonden,
