Section,Item,Value
Algemeen,Bestandsnaam,obd_export_20260819_140235.csv
Algemeen,Tijdstip,20260819_140235
VIN,VIN,VF12RA11A5532983
Protocol,Protocol naam,ISO 15765-4 (CAN 11/500)
Protocol,Protocol ID,6
Query,Command,b'010C': Engine RPM
Query,Value,1289.5 revolutions_per_minute
Query,Time,1787140955.7781
Supported Commands,DISTANCE_SINCE_DTC_CLEAR,b'0131' (mode 1)
Supported Commands,VIN,b'0902' (mode 9)
Supported Commands,RELATIVE_THROTTLE_POS,b'0145' (mode 1)
Supported Commands,DTC_SPEED,b'020D' (mode 2)
Supported Commands,PIDS_9A,b'0900' (mode 9)
Supported Commands,MIDS_F,b'06A0' (mode 6)
Supported Commands,DTC_AMBIANT_AIR_TEMP,b'0246' (mode 2)
Supported Commands,MONITOR_CATALYST_B1,b'0621' (mode 6)
Supported Commands,AMBIANT_AIR_TEMP,b'0146' (mode 1)
Supported Commands,DTC_THROTTLE_ACTUATOR,b'024C' (mode 2)
Supported Commands,DTC_RELATIVE_THROTTLE_POS,b'0245' (mode 2)
Supported Commands,DTC_THROTTLE_POS_B,b'0247' (mode 2)
Supported Commands,DTC_TIMING_ADVANCE,b'020E' (mode 2)
Supported Commands,DTC_STATUS,b'0201' (mode 2)
Supported Commands,THROTTLE_POS_B,b'0147' (mode 1)
Supported Commands,DTC_LONG_FUEL_TRIM_1,b'0207' (mode 2)
Supported Commands,WARMUPS_SINCE_DTC_CLEAR,b'0130' (mode 1)
Supported Commands,PIDS_A,b'0100' (mode 1)
Supported Commands,ABSOLUTE_LOAD,b'0143' (mode 1)
Supported Commands,FUEL_LEVEL,b'012F' (mode 1)
Supported Commands,O2_B1S1,b'0114' (mode 1)
Supported Commands,DTC_EVAPORATIVE_PURGE,b'022E' (mode 2)
Supported Commands,BAROMETRIC_PRESSURE,b'0133' (mode 1)
Supported Commands,DTC_SHORT_FUEL_TRIM_1,b'0206' (mode 2)
Supported Commands,DTC_ACCELERATOR_POS_E,b'024A' (mode 2)
Supported Commands,DTC_RPM,b'020C' (mode 2)
Supported Commands,DISTANCE_W_MIL,b'0121' (mode 1)
Supported Commands,DTC_OBD_COMPLIANCE,b'021C' (mode 2)
Supported Commands,GET_DTC,b'03' (mode 3)
Supported Commands,FUEL_STATUS,b'0103' (mode 1)
Supported Commands,O2_B1S2,b'0115' (mode 1)
Supported Commands,DTC_BAROMETRIC_PRESSURE,b'0233' (mode 2)
Supported Commands,MONITOR_BOOST_PRESSURE_B1,b'0685' (mode 6)
Supported Commands,THROTTLE_ACTUATOR,b'014C' (mode 1)
Supported Commands,DTC_DISTANCE_W_MIL,b'0221' (mode 2)
Supported Commands,ENGINE_LOAD,b'0104' (mode 1)
Supported Commands,DTC_STATUS_DRIVE_CYCLE,b'0241' (mode 2)
Supported Commands,O2_S1_WR_VOLTAGE,b'0124' (mode 1)
Supported Commands,STATUS,b'0101' (mode 1)
Supported Commands,DTC_FUEL_LEVEL,b'022F' (mode 2)
Supported Commands,DTC_PIDS_C,b'0240' (mode 2)
Supported Commands,DTC_ENGINE_LOAD,b'0204' (mode 2)
Supported Commands,EVAPORATIVE_PURGE,b'012E' (mode 1)
Supported Commands,TIMING_ADVANCE,b'010E' (mode 1)
Supported Commands,CLEAR_DTC,b'04' (mode 4)
Supported Commands,DTC_O2_B1S2,b'0215' (mode 2)
Supported Commands,MONITOR_O2_B1S1,b'0601' (mode 6)
Supported Commands,RPM,b'010C' (mode 1)
Supported Commands,DTC_DISTANCE_SINCE_DTC_CLEAR,b'0231' (mode 2)
Supported Commands,MAX_VALUES,b'014F' (mode 1)
Supported Commands,DTC_PIDS_B,b'0220' (mode 2)
Supported Commands,INTAKE_TEMP,b'010F' (mode 1)
Supported Commands,MIDS_E,b'0680' (mode 6)
